Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade,PCA1,PCA2,Grade Category,Cluster
1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0.3333333333333333,90.0,-3.472929064684302,-3.9672235800250206,High,0
0.0,0.0,0.5,0.8,0.2,0.5,0.5,0.6666666666666666,0.6666666666666666,100.0,-3.9931129763315725,0.6064082613799888,High,2
1.0,0.0,1.0,0.6000000000000001,0.6000000000000001,0.5,0.5,0.8333333333333333,0.6666666666666666,80.0,-4.1322935686161575,1.8386920328620997,Medium,1
0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.3333333333333333,99.0,-3.425778499532993,-3.9858562838554334,High,0
1.0,0.0,0.5,0.6000000000000001,0.6000000000000001,0.5,0.5,0.3333333333333333,0.3333333333333333,70.0,-4.1940432198348825,0.5707994676882437,Medium,1
1.0,0.0,1.0,0.2,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,50.0,-4.24760671694682,0.9567447741897412,Low,1
0.0,0.0,0.5,0.2,0.6000000000000001,0.5,0.5,0.6666666666666666,0.5,80.0,-3.8156816943174325,-0.7484306239975078,Medium,2
0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0.3333333333333333,55.0,-3.4698002217746864,-4.041625213495187,Low,0
0.0,0.0,0.25,0.8,0.2,0.5,0.5,0.8333333333333333,0.6666666666666666,75.0,-3.8797642072217036,0.18785378913873885,Medium,2
1.0,0.0,1.0,0.2,0.6000000000000001,0.5,0.5,0.6666666666666666,0.8333333333333333,69.0,-3.889126052733402,0.42655678572725364,Medium,1
0.0,0.0,0.5,0.8,0.4,0.5,0.75,0.8333333333333333,0.8333333333333333,95.0,-4.083132920674038,1.2079007765616439,High,2
0.0,0.0,0.25,0.4,0.2,0.5,0.25,0.5,0.5,55.0,-3.6647107123039993,-1.4669263061836166,Low,2
1.0,0.0,1.0,0.2,0.4,0.5,0.75,0.5,0.3333333333333333,60.0,-4.035937245634212,-0.2570008098366561,Low,1
1.0,0.0,0.5,0.8,0.6000000000000001,0.5,0.5,0.3333333333333333,0.3333333333333333,60.0,-4.320553194339608,1.286967369558937,Low,1
1.0,0.0,0.5,0.2,0.6000000000000001,0.5,0.25,0.3333333333333333,0.5,45.0,-3.822607702203795,-0.8205037958620154,Low,1
0.0,0.0,0.25,1.0,0.2,0.5,0.5,0.6666666666666666,0.6666666666666666,65.0,-4.050295903968122,0.8482527613696798,Medium,2
